,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating
20,20,올영중독녀,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,4.0,2022-09-02,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1364,11.0
21,21,콩나무리,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 742,4.0,2022-08-08,2.0,2.0,2.0,2.0,,0,복합성,모공,민감성,0,웜톤,,12,1652,8.0
22,22,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 016 애프터,,5.0,2022-10-13,2.0,2.0,3.0,3.0,,0,,,,0,,,12,1775,10.0
23,23,상강,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-10-05,3.0,2.0,3.0,1.0,,0,,,,0,,,12,1097,9.0
24,24,상강,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-05,3.0,2.0,2.0,1.0,,0,,,,0,,,12,1097,8.0
25,25,메메메,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 005 스터닝,TOP 695,5.0,2022-09-30,3.0,2.0,3.0,1.0,,0,복합성,미백,블랙헤드,0,쿨톤,,12,895,9.0
26,26,깅선,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-09-26,3.0,2.0,3.0,2.0,,0,,,,0,,,12,620,10.0
27,27,어이구내지갑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,5.0,2022-09-18,3.0,2.0,3.0,1.0,,0,,,,0,,,12,1244,9.0
28,28,콩리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 428,4.0,2022-09-18,2.0,2.0,2.0,2.0,,0,복합성,각질,모공,0,가을웜톤,,12,1653,8.0
29,29,Kimdan,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-06,3.0,3.0,3.0,2.0,,0,,,,0,,,12,51,11.0
30,30,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,TOP 296,4.0,2022-08-31,2.0,2.0,2.0,1.0,,0,,,,1,,,12,1599,7.0
31,31,딜라이트,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,4.0,2022-08-28,2.0,2.0,3.0,1.0,,0,,,,0,,,12,772,8.0
32,32,markly,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-26,3.0,3.0,3.0,1.0,,1,,,,0,,,12,349,10.0
33,33,민들,[NEW] 무지개맨션 오브제 리퀴드,,TOP 342,5.0,2022-08-25,3.0,2.0,3.0,2.0,,1,복합성,모공,민감성,0,웜톤,,12,958,10.0
34,34,피터래빗,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-25,3.0,1.0,3.0,1.0,,1,,,,0,,,12,1733,8.0
35,35,검은장미,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 005 스터닝,,4.0,2022-10-15,3.0,3.0,3.0,1.0,,0,,,,0,,,12,554,10.0
36,36,별의낮잠,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-10-01,2.0,2.0,2.0,2.0,,0,,,,0,,,12,1007,8.0
37,37,콩나무리,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-09-05,2.0,3.0,2.0,2.0,,0,,,,0,,,12,1652,9.0
38,38,dbqls****,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 842,5.0,2022-09-05,3.0,2.0,3.0,2.0,,0,건성,각질,탄력,0,쿨톤,,12,178,10.0
39,39,유진찌,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-01,3.0,3.0,3.0,2.0,,1,,,,0,,,12,1425,11.0
40,40,ssongcream,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-08-27,3.0,2.0,3.0,1.0,,0,,,,0,,,12,457,9.0
41,41,러브굿,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 007 칠린,,5.0,2022-08-21,3.0,2.0,2.0,1.0,,0,,,,0,,,12,806,8.0
42,42,ansdud4****,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 1298,5.0,2022-08-18,3.0,3.0,3.0,2.0,,0,지성,모공,트러블,0,가을웜톤,,12,137,11.0
43,43,캐치유캐치미,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-10-16,2.0,2.0,3.0,3.0,,0,,,,0,,,12,1627,10.0
44,44,요니이,[NEW] 무지개맨션 오브제 리퀴드,,TOP 1057,5.0,2022-09-10,3.0,3.0,3.0,3.0,,1,지성,모공,트러블,0,웜톤,,12,1391,12.0
45,45,으쌰,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-07,3.0,3.0,3.0,1.0,,1,,,,0,,,12,1440,10.0
46,46,미즈옹,[NEW] 무지개맨션 오브제 리퀴드,,TOP 375,5.0,2022-08-31,3.0,3.0,3.0,2.0,,1,지성,모공,트러블,0,가을웜톤,,12,948,11.0
47,47,hyeio,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-31,2.0,2.0,2.0,1.0,,1,,,,0,,,12,262,7.0
48,48,코덕축덕,[NEW] 무지개맨션 오브제 리퀴드,,TOP 1189,5.0,2022-08-30,3.0,3.0,3.0,2.0,,1,복합성,각질,모공,0,웜톤,,12,1643,11.0
49,49,검은장미,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-29,3.0,2.0,3.0,1.0,,1,,,,0,,,12,554,9.0
50,50,꾸기,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-28,3.0,2.0,3.0,1.0,,1,,,,0,,,12,640,9.0
51,51,올리브영마니아,[NEW] 무지개맨션 오브제 리퀴드,,TOP 269,5.0,2022-08-28,3.0,2.0,3.0,2.0,,1,건성,민감성,잡티,0,봄웜톤,,12,1332,10.0
52,52,갓지,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-08-07,3.0,2.0,2.0,1.0,,0,,,,0,,,12,542,8.0
53,53,야비도리,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 683,5.0,2022-07-15,3.0,3.0,3.0,2.0,,0,복합성,각질,다크서클,0,가을웜톤,,12,1234,11.0
54,54,ssongcream,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-10-10,2.0,2.0,2.0,3.0,,0,,,,0,,,12,457,9.0
55,55,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 173,4.0,2022-10-02,3.0,3.0,3.0,1.0,,0,복합성,트러블,,0,,민감성,12,1599,10.0
56,56,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1775,11.0
57,57,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 008 도미넌트,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1775,11.0
58,58,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 007 칠린,TOP 342,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,복합성,모공,민감성,0,웜톤,,12,1775,11.0
59,59,빤짝이,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,,5.0,2022-09-25,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1059,12.0
60,60,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-25,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1722,12.0
61,61,올리뷰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,5.0,2022-09-25,2.0,1.0,3.0,2.0,,0,,,,0,,,12,1324,8.0
62,62,코덕이최고야,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 571,4.0,2022-09-24,3.0,2.0,2.0,2.0,,0,복합성,민감성,트러블,0,웜톤,,12,1639,9.0
63,63,올라뷰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-09-18,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1319,12.0
64,64,갓지,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 657,5.0,2022-09-17,3.0,2.0,3.0,2.0,,0,지성,모공,민감성,0,웜톤,,12,542,10.0
65,65,누룽지는바비브라운,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-11,3.0,2.0,3.0,1.0,,1,,,,0,,,12,706,9.0
66,66,YoungLifee,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-01,3.0,2.0,3.0,2.0,,1,,,,0,,,12,119,10.0
67,67,nuuur1,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-30,3.0,3.0,3.0,3.0,,1,,,,0,,,12,377,12.0
68,68,춘시기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 014 텐션,,5.0,2022-10-14,3.0,2.0,3.0,2.0,,0,,,,0,,,12,1610,10.0
69,69,glossygoddess,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 728,5.0,2022-10-11,2.0,2.0,2.0,2.0,,0,건성,민감성,블랙헤드,0,웜톤,,12,229,8.0
70,70,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-05,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1722,11.0
71,71,집나간사자,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 395,5.0,2022-10-03,3.0,3.0,3.0,2.0,,0,복합성,트러블,,0,웜톤,,12,1555,11.0
72,72,솔잎sb,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-10-03,3.0,3.0,3.0,1.0,,0,,,,0,,,12,1134,10.0
73,73,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,TOP 246,4.0,2022-10-02,3.0,3.0,3.0,1.0,,0,건성,다크서클,잡티,0,웜톤,,12,1599,10.0
74,74,썽2쓰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1183,11.0
75,75,ㅇㅇㅁㅇㅇ,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 268,5.0,2022-10-01,3.0,3.0,3.0,1.0,,0,약건성,각질,다크서클,0,웜톤,,12,529,10.0
76,76,말랑말랑삼식이,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,4.0,2022-09-29,3.0,3.0,2.0,2.0,,0,,,,0,,,12,875,10.0
77,77,메메메,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 173,5.0,2022-09-29,3.0,2.0,3.0,1.0,,0,복합성,트러블,,0,,민감성,12,895,9.0
78,78,비가개인뒤,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-24,3.0,2.0,3.0,2.0,,0,,,,0,,,12,1052,10.0
79,79,이디,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 008 도미넌트,TOP 25,4.0,2022-09-22,2.0,1.0,3.0,2.0,,0,건성,아토피,주름,0,봄웜톤,,12,1458,8.0
80,80,멍멍꿀,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,,5.0,2022-09-22,3.0,3.0,3.0,2.0,,0,,,,0,,,12,889,11.0
81,81,hio9090,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,TOP 65,5.0,2022-09-21,3.0,2.0,1.0,1.0,,0,,,,1,,,12,250,7.0
82,82,코코바닐라,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 395,4.0,2022-09-20,3.0,2.0,3.0,2.0,,0,,,,1,,,12,1649,10.0
83,83,코덕이최고야,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-11,3.0,2.0,3.0,1.0,,1,,,,0,,,12,1639,9.0
84,84,삼겹돼지김치찜,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 571,5.0,2022-09-11,2.0,2.0,2.0,2.0,,0,복합성,민감성,트러블,0,웜톤,,12,1095,8.0
85,85,누데,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-10,3.0,1.0,2.0,1.0,,0,,,,0,,,12,705,7.0
86,86,솔직후기,[NEW] 무지개맨션 오브제 리퀴드,,TOP 375,5.0,2022-09-10,3.0,3.0,3.0,2.0,,1,지성,모공,트러블,0,가을웜톤,,12,1139,11.0
87,87,영아일해라,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-09,2.0,2.0,2.0,1.0,,1,,,,0,,,12,1276,7.0
88,88,hoii,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-09,3.0,2.0,3.0,2.0,,0,,,,0,,,12,255,10.0
89,89,푸룬하늘은하수,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-08,3.0,1.0,3.0,1.0,,1,,,,0,,,12,1715,8.0
90,90,코덕인생,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,,5.0,2022-07-01,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1641,11.0
91,91,Zen,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 베리 베리 핑크,,4.0,2021-07-31,3.0,1.0,3.0,3.0,,0,,,,0,,,10,122,10.0
92,92,몽캔디,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 695,5.0,2021-04-07,3.0,2.0,3.0,3.0,,0,복합성,미백,블랙헤드,0,쿨톤,,10,912,11.0
93,93,honeydewbbt,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2022-10-06,3.0,2.0,3.0,2.0,,0,,,,0,,,10,257,10.0
94,94,forrest,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,TOP 296,4.0,2022-10-01,3.0,2.0,3.0,3.0,,0,,,,1,,,10,221,11.0
95,95,울라울라라올영,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,,5.0,2022-09-12,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1407,11.0
96,96,Zen,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 피그피그,TOP 135,5.0,2021-10-17,3.0,3.0,3.0,3.0,,0,,,,1,,,10,122,12.0
97,97,요다,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,TOP 395,5.0,2021-04-08,3.0,2.0,3.0,3.0,,0,,,,1,,,10,1392,11.0
98,98,마스크팩성애자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 1033,5.0,2021-04-08,3.0,2.0,3.0,3.0,,0,복합성,다크서클,모공,0,겨울쿨톤,,10,865,11.0
99,99,푸룬하늘은하수,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,,5.0,2021-04-01,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1715,12.0
100,100,굠민,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 멀드 피치,TOP 506,4.0,2022-10-12,2.0,2.0,2.0,2.0,,0,민감성,모공,민감성,0,웜톤,,10,577,8.0
101,101,뽀뽀뽀,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 쥬쥬브,,5.0,2022-09-21,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1068,11.0
102,102,미즈옹,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 350,4.0,2022-03-03,3.0,1.0,3.0,2.0,,0,건성,블랙헤드,주름,0,겨울쿨톤,,10,948,9.0
103,103,요다,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,,5.0,2021-12-18,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1392,11.0
104,104,마스크팩성애자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]포멜로 스킨,,4.0,2021-04-15,2.0,2.0,3.0,2.0,,0,,,,0,,,10,865,9.0
105,105,오도,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]포멜로 스킨,,5.0,2021-04-09,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1300,12.0
106,106,올영중독녀,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,TOP 695,5.0,2022-10-09,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1364,12.0
107,107,엄준인마,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2022-09-25,3.0,2.0,3.0,2.0,,0,,,,1,,,10,1251,10.0
108,108,세일조아,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,TOP 549,4.0,2022-08-10,2.0,2.0,3.0,3.0,,0,,,,0,,,10,1123,10.0
109,109,몽캔디,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 애플브라운,,5.0,2022-07-19,3.0,3.0,3.0,3.0,,0,지성,모공,트러블,0,가을웜톤,,10,912,12.0
110,110,굠민,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 멀드 피치,TOP 375,4.0,2022-10-12,2.0,2.0,2.0,2.0,,0,,,,0,,,10,577,8.0
111,111,울라울라라올영,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,,5.0,2022-07-04,3.0,3.0,3.0,3.0,,0,건성,모공,민감성,0,웜톤,,10,1407,12.0
112,112,맑은달,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]포멜로 스킨,TOP 736,5.0,2021-12-07,3.0,3.0,3.0,3.0,,0,,,,0,,,10,878,12.0
113,113,gn4343,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 핑크 팝시클,,5.0,2021-08-10,3.0,3.0,3.0,3.0,,0,,,,0,,,10,230,12.0
114,114,혜결,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,,4.0,2021-04-04,2.0,2.0,2.0,3.0,,0,건성,주름,,0,,미백,10,1791,9.0
115,115,너구리Vv,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]포멜로 스킨,TOP 444,4.0,2021-04-02,1.0,2.0,3.0,3.0,,0,,,,0,,,10,692,9.0
116,116,올영과함께라면,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2022-10-10,3.0,2.0,3.0,3.0,,0,건성,각질,탄력,0,쿨톤,,10,1343,11.0
117,117,화장품좋아하는여자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,TOP 842,5.0,2022-10-05,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1812,12.0
118,118,화장품좋아하는여자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 피그피그,,5.0,2022-09-30,3.0,3.0,3.0,3.0,,0,건성,각질,모공,0,여름쿨톤,,10,1812,12.0
119,119,미즈옹,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 쥬쥬브,TOP 582,5.0,2022-09-30,3.0,3.0,3.0,3.0,,0,,,,0,,,10,948,12.0
120,120,yepicture,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]포멜로 스킨,,5.0,2022-09-07,3.0,2.0,3.0,3.0,,0,,,,0,,,10,508,11.0
121,121,츄펭,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,,4.0,2022-08-25,3.0,2.0,2.0,2.0,,0,,,,0,,,10,1617,9.0
122,122,진화,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2022-07-20,2.0,2.0,3.0,3.0,,0,,,,0,,,10,1554,10.0
123,123,시슬리,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,,5.0,2022-07-12,3.0,2.0,3.0,2.0,,0,지성,민감성,블랙헤드,0,가을웜톤,,10,1170,10.0
124,124,시슬리,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,TOP 460,5.0,2022-07-05,3.0,1.0,3.0,3.0,,0,,,,0,,,10,1170,10.0
125,125,맹두,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]필링 앵두,,5.0,2022-07-05,3.0,1.0,3.0,3.0,,0,,,,1,,,10,885,10.0
126,126,울라울라라올영,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,TOP 438,5.0,2022-07-01,3.0,3.0,3.0,3.0,,0,,,,0,,,10,1407,12.0
127,127,뮤온,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]누카다미아,,5.0,2021-12-03,3.0,3.0,3.0,3.0,,0,지성,각질,잡티,0,여름쿨톤,,10,930,12.0
128,128,마스크팩성애자,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 베리 베리 핑크,TOP 1099,5.0,2021-08-13,3.0,1.0,3.0,3.0,,0,,,,0,,,10,865,10.0
129,129,우루루까꿍,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 핑크 팝시클,,5.0,2021-08-01,3.0,3.0,3.0,3.0,,0,지성,각질,잡티,0,쿨톤,,10,1401,12.0
130,130,kyne1,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,TOP 175,5.0,2022-10-10,3.0,2.0,3.0,3.0,,0,,,,0,,,10,321,11.0
131,131,리리578,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,,5.0,2022-10-05,3.0,3.0,3.0,3.0,,0,트러블성,각질,모공,0,가을웜톤,,10,842,12.0
132,132,imagining,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 베어 피그,TOP 598,5.0,2022-10-03,3.0,2.0,3.0,3.0,,0,,,,0,,,10,274,11.0
133,133,피부특공대,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [올리브영단독]베어 그레이프,,4.0,2022-09-28,3.0,2.0,3.0,3.0,,0,트러블성,트러블,,0,가을웜톤,,10,1728,11.0
134,134,호박고구마호굼마,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,TOP 166,5.0,2022-09-26,3.0,2.0,3.0,3.0,,0,,,,0,,,10,1801,11.0
135,135,하하도도,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] [NEW] 파파야 잼,,5.0,2022-09-19,3.0,2.0,3.0,2.0,,0,민감성,민감성,잡티,0,웜톤,,10,1755,10.0
136,136,호랑이어흥,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 체리 밤,TOP 50,5.0,2022-09-01,2.0,2.0,3.0,3.0,,0,,,,0,,,10,1798,10.0
137,137,민둥민둥,[NEW] 롬앤 쥬시 래스팅 틴트,[옵션] 베리 베리 핑크,,4.0,2022-08-30,3.0,1.0,2.0,2.0,,0,복합성,모공,민감성,0,여름쿨톤,,10,957,8.0
