,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating,브랜드,가격,평균별점,발색력점수,지속력점수,발림성점수,수분감점수
22,22,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 016 애프터,,5.0,2022-10-13,2.0,2.0,3.0,3.0,,0,,,,0,,,12,1775,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
23,23,상강,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-10-05,3.0,2.0,3.0,1.0,,0,,,,0,,,12,1097,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
24,24,상강,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-05,3.0,2.0,2.0,1.0,,0,,,,0,,,12,1097,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
25,25,메메메,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 005 스터닝,TOP 695,5.0,2022-09-30,3.0,2.0,3.0,1.0,,0,복합성,미백,블랙헤드,0,쿨톤,,12,895,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
26,26,깅선,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-09-26,3.0,2.0,3.0,2.0,,0,,,,0,,,12,620,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
27,27,어이구내지갑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,5.0,2022-09-18,3.0,2.0,3.0,1.0,,0,,,,0,,,12,1244,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
28,28,콩리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 428,4.0,2022-09-18,2.0,2.0,2.0,2.0,,0,복합성,각질,모공,0,가을웜톤,,12,1653,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
29,29,Kimdan,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-06,3.0,3.0,3.0,2.0,,0,,,,0,,,12,51,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
30,30,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,TOP 296,4.0,2022-08-31,2.0,2.0,2.0,1.0,,0,,,,1,,,12,1599,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
31,31,딜라이트,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,4.0,2022-08-28,2.0,2.0,3.0,1.0,,0,,,,0,,,12,772,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
32,32,markly,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-26,3.0,3.0,3.0,1.0,,1,,,,0,,,12,349,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
33,33,민들,[NEW] 무지개맨션 오브제 리퀴드,,TOP 342,5.0,2022-08-25,3.0,2.0,3.0,2.0,,1,복합성,모공,민감성,0,웜톤,,12,958,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
34,34,피터래빗,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-25,3.0,1.0,3.0,1.0,,1,,,,0,,,12,1733,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
35,35,검은장미,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 005 스터닝,,4.0,2022-10-15,3.0,3.0,3.0,1.0,,0,,,,0,,,12,554,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
36,36,별의낮잠,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-10-01,2.0,2.0,2.0,2.0,,0,,,,0,,,12,1007,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
37,37,콩나무리,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-09-05,2.0,3.0,2.0,2.0,,0,,,,0,,,12,1652,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
38,38,dbqls****,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 842,5.0,2022-09-05,3.0,2.0,3.0,2.0,,0,건성,각질,탄력,0,쿨톤,,12,178,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
39,39,유진찌,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-01,3.0,3.0,3.0,2.0,,1,,,,0,,,12,1425,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
40,40,ssongcream,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-08-27,3.0,2.0,3.0,1.0,,0,,,,0,,,12,457,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
41,41,러브굿,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 007 칠린,,5.0,2022-08-21,3.0,2.0,2.0,1.0,,0,,,,0,,,12,806,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
42,42,ansdud4****,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 1298,5.0,2022-08-18,3.0,3.0,3.0,2.0,,0,지성,모공,트러블,0,가을웜톤,,12,137,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
43,43,캐치유캐치미,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-10-16,2.0,2.0,3.0,3.0,,0,,,,0,,,12,1627,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
44,44,요니이,[NEW] 무지개맨션 오브제 리퀴드,,TOP 1057,5.0,2022-09-10,3.0,3.0,3.0,3.0,,1,지성,모공,트러블,0,웜톤,,12,1391,12.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
45,45,으쌰,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-07,3.0,3.0,3.0,1.0,,1,,,,0,,,12,1440,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
46,46,미즈옹,[NEW] 무지개맨션 오브제 리퀴드,,TOP 375,5.0,2022-08-31,3.0,3.0,3.0,2.0,,1,지성,모공,트러블,0,가을웜톤,,12,948,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
47,47,hyeio,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-31,2.0,2.0,2.0,1.0,,1,,,,0,,,12,262,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
48,48,코덕축덕,[NEW] 무지개맨션 오브제 리퀴드,,TOP 1189,5.0,2022-08-30,3.0,3.0,3.0,2.0,,1,복합성,각질,모공,0,웜톤,,12,1643,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
49,49,검은장미,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-29,3.0,2.0,3.0,1.0,,1,,,,0,,,12,554,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
50,50,꾸기,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-08-28,3.0,2.0,3.0,1.0,,1,,,,0,,,12,640,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
51,51,올리브영마니아,[NEW] 무지개맨션 오브제 리퀴드,,TOP 269,5.0,2022-08-28,3.0,2.0,3.0,2.0,,1,건성,민감성,잡티,0,봄웜톤,,12,1332,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
52,52,갓지,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-08-07,3.0,2.0,2.0,1.0,,0,,,,0,,,12,542,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
53,53,야비도리,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 683,5.0,2022-07-15,3.0,3.0,3.0,2.0,,0,복합성,각질,다크서클,0,가을웜톤,,12,1234,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
54,54,ssongcream,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,4.0,2022-10-10,2.0,2.0,2.0,3.0,,0,,,,0,,,12,457,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
55,55,체리브영,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 173,4.0,2022-10-02,3.0,3.0,3.0,1.0,,0,복합성,트러블,,0,,민감성,12,1599,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
56,56,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 010 언던,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1775,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
57,57,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 008 도미넌트,,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,,,,0,,,12,1775,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
58,58,행복바라기,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 007 칠린,TOP 342,5.0,2022-10-01,3.0,3.0,3.0,2.0,,0,복합성,모공,민감성,0,웜톤,,12,1775,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
59,59,빤짝이,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,,5.0,2022-09-25,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1059,12.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
60,60,플랑플랑,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-25,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1722,12.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
61,61,올리뷰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,5.0,2022-09-25,2.0,1.0,3.0,2.0,,0,,,,0,,,12,1324,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
62,62,코덕이최고야,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,TOP 571,4.0,2022-09-24,3.0,2.0,2.0,2.0,,0,복합성,민감성,트러블,0,웜톤,,12,1639,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
63,63,올라뷰,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 002시퀀스,,5.0,2022-09-18,3.0,3.0,3.0,3.0,,0,,,,0,,,12,1319,12.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
64,64,갓지,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,TOP 657,5.0,2022-09-17,3.0,2.0,3.0,2.0,,0,지성,모공,민감성,0,웜톤,,12,542,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
65,65,누룽지는바비브라운,[NEW] 무지개맨션 오브제 리퀴드,,,4.0,2022-09-11,3.0,2.0,3.0,1.0,,1,,,,0,,,12,706,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
