,user_no,상품명,star
100,577,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
101,1068,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
102,948,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
103,1392,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
104,865,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
105,1300,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
106,1364,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
107,1251,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
108,1123,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
109,912,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
110,577,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
111,1407,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
112,878,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
113,230,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
114,1791,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
115,692,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
116,1343,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
117,1812,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
118,1812,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
119,948,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
120,508,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
121,1617,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
122,1554,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
123,1170,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
124,1170,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
125,885,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
126,1407,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
127,930,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
128,865,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
129,1401,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
130,321,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
131,842,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
132,274,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
133,1728,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
134,1801,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
135,1755,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
136,1798,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
137,957,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
138,174,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
139,692,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
140,812,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
141,1306,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
142,1407,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
143,52,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
144,1283,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
145,185,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
146,283,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
147,1183,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
148,780,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
149,1276,[NEW] 롬앤 쥬시 래스팅 틴트,4.0
150,1157,[NEW] 롬앤 쥬시 래스팅 틴트,5.0
